time,intensity,	
0,0,
0,2,
0,40,
0,70,
5,6,
5,6,
5,6,
5,80,
10,30,
10,90,
10,44,
10,60,
10,77,
15,15,
15,15,
15,15,
20,19,
20,19,
20,19,
20,19,
20,19,
20,100,
20,80,
20,60,
20,40,
25,26,
25,26,
25,26,
25,50,
30,75,
30,10,
30,90,
35,34,
35,34,
35,50,
40,88,
40,11,
40,60,
40,40,
40,40,
40,40,
40,25,
50,6,
50,51,
50,51,
50,51,
50,30,
50,70,
50,80,
50,90,
55,38,
60,8,
60,56,
60,56,
60,21,
60,28,
60,82,
60,93,
65,30,
67,69,
67,69,
70,12,
70,51,
70,90,
67,69,
67,69,
70,40,
75,75,
75,75,
75,75,
80,45,
80,82,
80,82,
80,82,
80,30,
80,10,
80,60,
85,87,
85,87,
85,33,
90,92,
90,55,
90,92,
90,92,
90,92,
90,70,
90,40,
90,20,
95,94,
100,88,
100,10,
100,30,
100,50,
